Date,symbol,Open,Close,High,Low
2020-06-02,fb,230.94000244140625,232.72000122070312,233.0,226.55999755859375
2020-06-03,fb,232.11000061035156,230.16000366210938,232.64999389648438,228.52999877929688
2020-06-04,fb,229.55999755859375,226.2899932861328,231.6300048828125,224.61000061035156
2020-06-05,fb,226.7100067138672,230.77000427246094,231.35000610351562,225.30999755859375
2020-06-08,fb,229.02999877929688,231.39999389648438,231.5500030517578,227.41000366210938
2020-06-09,fb,231.52000427246094,238.6699981689453,239.77000427246094,230.41000366210938
2020-06-10,fb,240.9600067138672,236.72999572753906,241.2100067138672,235.27999877929688
2020-06-11,fb,229.94000244140625,224.42999267578125,232.88999938964844,223.5500030517578
2020-06-12,fb,229.89999389648438,228.5800018310547,231.66000366210938,224.5
2020-06-15,fb,225.08999633789062,232.5,233.77000427246094,224.8000030517578
2020-06-16,fb,237.13999938964844,235.64999389648438,238.4600067138672,233.0
2020-06-17,fb,235.0,235.52999877929688,237.58999633789062,231.72999572753906
2020-06-18,fb,234.99000549316406,235.94000244140625,236.13999938964844,232.14999389648438
2020-06-19,fb,237.7899932861328,238.7899932861328,240.8300018310547,235.5500030517578
2020-06-22,fb,238.55999755859375,239.22000122070312,240.6999969482422,236.91000366210938
2020-06-23,fb,241.27999877929688,242.24000549316406,245.19000244140625,239.86000061035156
2020-06-24,fb,241.1999969482422,234.02000427246094,243.22000122070312,232.67999267578125
2020-06-25,fb,234.6199951171875,235.67999267578125,237.3000030517578,232.74000549316406
2020-06-26,fb,232.63999938964844,216.0800018310547,233.08999633789062,215.39999389648438
2020-06-29,fb,209.75,220.63999938964844,220.75,207.11000061035156
2020-06-30,fb,220.58999633789062,227.07000732421875,227.5,218.47000122070312
2020-07-01,fb,228.5,237.5500030517578,239.0,227.55999755859375
2020-07-02,fb,239.0,233.4199981689453,240.0,232.61000061035156
2020-07-06,fb,233.75999450683594,240.27999877929688,240.39999389648438,232.27000427246094
2020-07-07,fb,239.41000366210938,240.86000061035156,247.64999389648438,238.82000732421875
2020-07-08,fb,238.11000061035156,243.5800018310547,246.99000549316406,236.58999633789062
2020-07-09,fb,245.0,244.5,246.52999877929688,239.24000549316406
2020-07-10,fb,243.69000244140625,245.07000732421875,245.49000549316406,239.32000732421875
2020-07-13,fb,247.00999450683594,239.0,250.14999389648438,238.4199981689453
2020-07-14,fb,236.75999450683594,239.72999572753906,240.3300018310547,232.02999877929688
2020-07-15,fb,241.5500030517578,240.27999877929688,244.82000732421875,238.0500030517578
2020-07-16,fb,238.0,240.92999267578125,241.75999450683594,236.3300018310547
2020-07-17,fb,241.0,242.02999877929688,244.16000366210938,237.86000061035156
2020-07-20,fb,240.05999755859375,245.4199981689453,246.0500030517578,235.63999938964844
2020-07-21,fb,246.22000122070312,241.75,246.91000366210938,240.0800018310547
2020-07-22,fb,240.25999450683594,239.8699951171875,241.89999389648438,238.1199951171875
2020-07-23,fb,239.6300048828125,232.60000610351562,242.4199981689453,231.75
2020-07-24,fb,230.19000244140625,230.7100067138672,233.49000549316406,226.89999389648438
2020-07-27,fb,231.4600067138672,233.5,234.9499969482422,230.8300018310547
2020-07-28,fb,234.6300048828125,230.1199951171875,234.9600067138672,229.8300018310547
2020-07-29,fb,231.13999938964844,233.2899932861328,233.6999969482422,230.30999755859375
2020-07-30,fb,230.22000122070312,234.5,234.88999938964844,229.0
2020-07-31,fb,255.82000732421875,253.6699981689453,255.85000610351562,249.0
2020-08-03,fb,252.64999389648438,251.9600067138672,255.39999389648438,250.3300018310547
2020-08-04,fb,251.55999755859375,249.8300018310547,252.8000030517578,247.42999267578125
2020-08-05,fb,250.19000244140625,249.1199951171875,252.27000427246094,247.77000427246094
2020-08-06,fb,249.0399932861328,265.2799987792969,266.6000061035156,248.6699981689453
2020-08-07,fb,264.0799865722656,268.44000244140625,278.8900146484375,263.42999267578125
2020-08-10,fb,268.0400085449219,263.0,273.8599853515625,259.69000244140625
2020-08-11,fb,260.19000244140625,256.1300048828125,265.9200134277344,255.1300048828125
2020-08-12,fb,258.9700012207031,259.8900146484375,263.8999938964844,258.1099853515625
2020-08-13,fb,261.54998779296875,261.29998779296875,265.1600036621094,259.57000732421875
2020-08-14,fb,262.30999755859375,261.239990234375,262.6499938964844,258.67999267578125
2020-08-17,fb,262.5,261.1600036621094,264.1000061035156,259.3999938964844
2020-08-18,fb,260.95001220703125,262.3399963378906,265.1499938964844,259.260009765625
2020-08-19,fb,261.3900146484375,262.5899963378906,267.9100036621094,261.3500061035156
2020-08-20,fb,261.5,269.010009765625,269.6300048828125,261.4599914550781
2020-08-21,fb,268.69000244140625,267.010009765625,270.489990234375,266.4200134277344
2020-08-24,fb,271.07000732421875,271.3900146484375,277.25,268.7699890136719
2020-08-25,fb,272.4100036621094,280.82000732421875,283.0899963378906,270.260009765625
2020-08-26,fb,284.0,303.9100036621094,304.6700134277344,284.0
2020-08-27,fb,300.1600036621094,293.2200012207031,301.2300109863281,292.0199890136719
2020-08-28,fb,295.0,293.6600036621094,297.2300109863281,290.9800109863281
2020-08-31,fb,293.95001220703125,293.20001220703125,296.8800048828125,291.54998779296875
2020-09-01,fb,294.7099914550781,295.44000244140625,301.489990234375,292.7099914550781
2020-09-02,fb,298.8800048828125,302.5,303.6000061035156,293.04998779296875
2020-09-03,fb,295.989990234375,291.1199951171875,297.6000061035156,283.6300048828125
2020-09-04,fb,287.25,282.7300109863281,289.0,271.1400146484375
2020-09-08,fb,271.2799987792969,271.1600036621094,279.29998779296875,269.4200134277344
2020-09-09,fb,275.7699890136719,273.7200012207031,278.4800109863281,271.3500061035156
2020-09-10,fb,275.510009765625,268.0899963378906,279.1600036621094,267.0299987792969
2020-09-11,fb,270.05999755859375,266.6099853515625,271.3900146484375,262.6400146484375
2020-09-14,fb,270.95001220703125,266.1499938964844,276.6400146484375,265.70001220703125
2020-09-15,fb,270.6700134277344,272.4200134277344,274.5199890136719,269.29998779296875
2020-09-16,fb,267.2900085449219,263.5199890136719,272.44000244140625,261.7900085449219
2020-09-17,fb,258.2799987792969,254.82000732421875,261.5,250.19000244140625
2020-09-18,fb,258.3999938964844,252.52999877929688,259.20001220703125,250.0500030517578
2020-09-21,fb,247.5399932861328,248.14999389648438,249.9499969482422,244.1300048828125
2020-09-22,fb,253.30999755859375,254.75,255.32000732421875,248.22000122070312
2020-09-23,fb,255.25999450683594,249.02000427246094,257.989990234375,248.14999389648438
